;Name;Year;Available.Pedigree
387;V0387;1922;V0881 X NA
388;V0388;2011;NA X V0961
389;V0389;2013;V0352 X NA
390;V0390;2000;V0983 X NA
391;V0391;1910;NA X NA
392;V0392;2010;NA X V0598
393;V0393;2005;NA X V1080
394;V0394;1972;V0202 X V1178
395;V0395;2000;V0672 X NA
396;V0396;2002;NA X V1184
397;V0397;2004;NA X V0209
398;V0398;2006;V0539 X NA
399;V0399;2013;V0983 X V0619
400;V0400;2020;V1109 X NA
401;V0401;1965;V0321 X V1171
402;V0402;2000;V1286 X V1208
403;V0403;2013;NA X V1173
404;V0404;1993;V1191 X NA
405;V0405;2007;NA X NA
406;V0406;1965;NA X NA
407;V0407;1962;NA X V0617
408;V0408;1990;V0105 X NA
409;V0409;2002;V0603 X NA
410;V0410;1976;V1132 X NA
411;V0411;1986;V1140 X NA
412;V0412;1890;NA X NA
413;V0413;1958;NA X NA
414;V0414;1999;NA X V0593
415;V0415;1945;V0896 X NA
416;V0416;2017;V1193 X NA
417;V0417;1840;NA X NA
418;V0418;2010;NA X V0433
419;V0419;1975;V0202 X NA
420;V0420;1974;NA X NA
421;V0421;1970;V0954 X NA
422;V0422;1976;V0797 X NA
423;V0423;1992;V0717 X V0214
424;V0424;1959;NA X NA
425;V0425;1984;NA X NA
426;V0426;1999;V0983 X NA
427;V0427;1988;V0256 X V1178
428;V0428;1970;V0328 X V0809
429;V0429;1976;V0047 X NA
430;V0430;1900;NA X NA
431;V0431;1942;NA X NA
432;V0432;1946;V0032 X V0994
433;V0433;1980;NA X NA
434;V0434;2016;NA X NA
435;V0435;2007;NA X NA
436;V0436;2008;NA X NA
437;V0437;2020;NA X NA
438;V0438;2000;NA X NA
439;V0439;1958;NA X V0985
440;V0440;1963;NA X NA
441;V0441;1867;NA X NA
442;V0442;1998;NA X NA
443;V0443;2020;NA X NA
444;V0444;1955;V0002 X V1138
445;V0445;1999;NA X V0296
446;V0446;1968;V0444 X V0862
447;V0447;1940;NA X V0719
448;V0448;1970;NA X NA
449;V0449;2018;NA X V0113
450;V0450;1995;V0317 X NA
451;V0451;2015;V0724 X NA
452;V0452;1995;NA X NA
453;V0453;2010;V0426 X NA
454;V0454;2007;V0524 X NA
455;V0455;1993;V0262 X NA
456;V0456;1950;NA X NA
457;V0457;2015;NA X NA
458;V0458;2014;V0460 X NA
459;V0459;1972;NA X V0386
460;V0460;2003;NA X V0481
461;V0461;2013;V1015 X NA
462;V0462;1885;NA X NA
463;V0463;2010;V0851 X NA
464;V0464;1966;NA X V0879
465;V0465;1986;V1277 X V0276
466;V0466;1967;NA X V0923
467;V0467;2006;V0256 X NA
468;V0468;1913;NA X V0514
469;V0469;2017;V0156 X V0871
470;V0470;1992;NA X V0540
471;V0471;1938;NA X NA
472;V0472;2015;NA X NA
473;V0473;1997;V0110 X V0317
474;V0474;1973;NA X NA
475;V0475;2009;V0317 X V0072
476;V0476;2009;NA X V0642
477;V0477;2014;V1015 X V0266
478;V0478;NA;NA X NA
479;V0479;1898;V1245 X NA
480;V0480;2019;V1219 X NA
481;V0481;1988;V0566 X NA
482;V0482;1965;NA X NA
483;V0483;2017;NA X V1119
484;V0484;1957;NA X V1010
485;V0485;1986;NA X V0752
486;V0486;1970;NA X NA
487;V0487;1993;V0232 X V1244
488;V0488;2006;V0240 X V0784
489;V0489;2008;NA X NA
490;V0490;1985;NA X NA
491;V0491;1974;V0228 X V0479
492;V0492;2012;NA X V0712
493;V0493;2002;NA X V0809
494;V0494;1976;V0611 X NA
495;V0495;1856;NA X NA
496;V0496;1937;V0575 X NA
497;V0497;1971;NA X NA
498;V0498;2013;NA X NA
499;V0499;1982;NA X NA
500;V0500;2003;V0317 X NA
501;V0501;1946;V0956 X NA
502;V0502;2009;V0185 X V0642
503;V0503;1895;NA X NA
504;V0504;1991;V1246 X V0856
505;V0505;1988;V1195 X NA
506;V0506;2005;V0603 X NA
507;V0507;1998;NA X NA
508;V0508;2020;NA X NA
509;V0509;2009;NA X NA
510;V0510;1980;V0613 X NA
511;V0511;1998;NA X NA
512;V0512;1975;NA X NA
513;V0513;1900;V0363 X NA
514;V0514;1908;NA X NA
515;V0515;2013;NA X V0460
516;V0516;1955;V0091 X V1138
517;V0517;2006;V0317 X V0481
518;V0518;1994;V0256 X NA
